tag,variant,tier,target,n_anomaly,n_total,detector,accuracy,fpr,precision,recall,f1,latency_s,auc_roc,auc_pr,event_detected,threshold,tp,tn,fp,fn
ecg_emg_burst,1,hard,signal,9300,15000,ZScore,0.6369,0.2216,0.802,0.5502,0.6527,0.953,0.7901,0.8628,True,2081314285.714151,5117,4437,1263,4183
ecg_emg_burst,1,hard,signal,9300,15000,RobustRollingZScore,0.5127,0.0205,0.9474,0.2267,0.3658,1.089,0.5948,0.7619,True,1099520.796612,2108,5583,117,7192
ecg_emg_burst,1,hard,signal,9300,15000,IsolationForest,0.9775,0.0558,0.9669,0.9978,0.9821,0.175,0.9929,0.9811,True,0.559547,9280,5382,318,20
ecg_emg_burst,1,hard,signal,9300,15000,Autoencoder,0.9611,0.1025,0.9409,1.0,0.9696,0.0,0.9983,0.998,True,0.574157,9300,5116,584,0
ecg_emg_burst,1,hard,signal,9300,15000,LOF,0.9732,0.07,0.9588,0.9997,0.9788,0.0,0.997,0.9967,True,1.472817,9297,5301,399,3
ecg_emg_burst,2,hard,signal,9300,15000,ZScore,0.6539,0.2093,0.8163,0.5701,0.6714,0.214,0.8062,0.8765,True,2081314285.714151,5302,4507,1193,3998
ecg_emg_burst,2,hard,signal,9300,15000,RobustRollingZScore,0.5049,0.0195,0.947,0.2133,0.3482,0.194,0.5867,0.7555,True,1099520.796612,1984,5589,111,7316
ecg_emg_burst,2,hard,signal,9300,15000,IsolationForest,0.9769,0.0572,0.9661,0.9978,0.9817,0.194,0.9912,0.9787,True,0.559547,9280,5374,326,20
ecg_emg_burst,2,hard,signal,9300,15000,Autoencoder,0.9583,0.1096,0.937,1.0,0.9675,0.0,0.999,0.9987,True,0.574157,9300,5075,625,0
ecg_emg_burst,2,hard,signal,9300,15000,LOF,0.9676,0.0853,0.9503,1.0,0.9745,0.0,0.9963,0.9953,True,1.472817,9300,5214,486,0
ecg_powerline_noise,1,easy,signal,1800,15000,ZScore,0.7904,0.2354,0.362,0.9794,0.5286,0.719,0.9901,0.9597,True,2081314285.714151,1763,10093,3107,37
ecg_powerline_noise,1,easy,signal,1800,15000,RobustRollingZScore,0.8622,0.0202,0.0,0.0,0.0,,0.4159,0.114,False,1099520.796612,0,12933,267,1800
ecg_powerline_noise,1,easy,signal,1800,15000,IsolationForest,0.9291,0.0778,0.632,0.98,0.7685,0.311,0.9801,0.7792,True,0.559547,1764,12173,1027,36
ecg_powerline_noise,1,easy,signal,1800,15000,Autoencoder,0.8318,0.1906,0.4161,0.9961,0.587,0.136,0.9926,0.8939,True,0.574157,1793,10684,2516,7
ecg_powerline_noise,1,easy,signal,1800,15000,LOF,0.7398,0.295,0.315,0.995,0.4786,0.019,0.9784,0.7406,True,1.472817,1791,9306,3894,9
ecg_powerline_noise,2,easy,signal,1800,15000,ZScore,0.7841,0.2453,0.3573,1.0,0.5265,0.0,0.9957,0.9586,True,2081314285.714151,1800,9962,3238,0
ecg_powerline_noise,2,easy,signal,1800,15000,RobustRollingZScore,0.8643,0.0181,0.0165,0.0022,0.0039,0.622,0.4137,0.1168,True,1099520.796612,4,12961,239,1796
ecg_powerline_noise,2,easy,signal,1800,15000,IsolationForest,0.9289,0.0788,0.6303,0.985,0.7687,0.525,0.9827,0.7794,True,0.559547,1773,12160,1040,27
ecg_powerline_noise,2,easy,signal,1800,15000,Autoencoder,0.8313,0.1908,0.4151,0.9928,0.5854,0.253,0.9932,0.8976,True,0.574157,1787,10682,2518,13
ecg_powerline_noise,2,easy,signal,1800,15000,LOF,0.7408,0.294,0.316,0.9961,0.4798,0.058,0.9788,0.7414,True,1.472817,1793,9319,3881,7
ecg_powerline_noise,1,medium,signal,5700,15000,ZScore,0.853,0.232,0.7237,0.9918,0.8368,0.467,0.9915,0.9884,True,2081314285.714151,5653,7142,2158,47
ecg_powerline_noise,1,medium,signal,5700,15000,RobustRollingZScore,0.6122,0.0185,0.2423,0.0096,0.0186,0.467,0.4033,0.3516,True,1099520.796612,55,9128,172,5645
ecg_powerline_noise,1,medium,signal,5700,15000,IsolationForest,0.9323,0.1037,0.8542,0.9909,0.9175,0.389,0.9758,0.8953,True,0.559547,5648,8336,964,52
ecg_powerline_noise,1,medium,signal,5700,15000,Autoencoder,0.8409,0.2557,0.7053,0.9984,0.8266,0.175,0.9864,0.9262,True,0.574157,5691,6922,2378,9
